Timestamp,DL_bitrate,UL_bitrate,Throughput,OT,date
2020.01.16_10.46.18,7004160,5251072,12255232,12255232,2020.01.16_10.46.18
2020.01.16_10.46.19,3612672,0,3612672,3612672,2020.01.16_10.46.19
2020.01.16_10.46.20,3448832,12163481.6,15612313.6,15612313.6,2020.01.16_10.46.20
2020.01.16_10.46.21,7143424,18622709.76,25766133.76,25766133.76,2020.01.16_10.46.21
2020.01.16_10.46.22,11744051.2,13673431.04,25417482.24,25417482.24,2020.01.16_10.46.22
2020.01.16_10.46.23,3104768,0,3104768,3104768,2020.01.16_10.46.23
2020.01.16_10.46.24,1540096,8891924.48,10432020.48,10432020.48,2020.01.16_10.46.24
2020.01.16_10.46.26,425164.8,9730785.28,10155950.08,10155950.08,2020.01.16_10.46.26
2020.01.16_10.46.26,1622016,3293184,4915200,4915200,2020.01.16_10.46.26
2020.01.16_10.46.27,509542.4,2514944,3024486.4,3024486.4,2020.01.16_10.46.27
2020.01.16_10.46.28,8724152.32,942080,9666232.32,9666232.32,2020.01.16_10.46.28
2020.01.16_10.46.29,5644288,0,5644288,5644288,2020.01.16_10.46.29
2020.01.16_10.46.30,18454937.6,1220608,19675545.6,19675545.6,2020.01.16_10.46.30
2020.01.16_10.46.31,8290304,8257536,16547840,16547840,2020.01.16_10.46.31
2020.01.16_10.46.33,22145925.12,10401873.92,32547799.04,32547799.04,2020.01.16_10.46.33
2020.01.16_10.46.34,13421772.8,2514944,15936716.8,15936716.8,2020.01.16_10.46.34
2020.01.16_10.46.35,12834570.24,5873664,18708234.24,18708234.24,2020.01.16_10.46.35
2020.01.16_10.46.36,2785280,0,2785280,2785280,2020.01.16_10.46.36
2020.01.16_10.46.37,18622709.76,10569646.08,29192355.84,29192355.84,2020.01.16_10.46.37
2020.01.16_10.46.38,10989076.48,18790481.92,29779558.4,29779558.4,2020.01.16_10.46.38
2020.01.16_10.46.40,9563013.12,10905190.4,20468203.52,20468203.52,2020.01.16_10.46.40
2020.01.16_10.46.40,6455296,13337886.72,19793182.72,19793182.72,2020.01.16_10.46.40
2020.01.16_10.46.41,7815168,5185536,13000704,13000704,2020.01.16_10.46.41
2020.01.16_10.46.42,4390912,8891924.48,13282836.48,13282836.48,2020.01.16_10.46.42
2020.01.16_10.46.43,5758976,14344519.68,20103495.68,20103495.68,2020.01.16_10.46.43
2020.01.16_10.46.44,6070272,14176747.52,20247019.52,20247019.52,2020.01.16_10.46.44
2020.01.16_10.46.46,10150215.68,18454937.6,28605153.28,28605153.28,2020.01.16_10.46.46
2020.01.16_10.46.47,8556380.16,23907532.8,32463912.96,32463912.96,2020.01.16_10.46.47
2020.01.16_10.46.48,6766592,8347648,15114240,15114240,2020.01.16_10.46.48
2020.01.16_10.46.49,7487488,5767168,13254656,13254656,2020.01.16_10.46.49
2020.01.16_10.46.50,15015608.32,4300800,19316408.32,19316408.32,2020.01.16_10.46.50
2020.01.16_10.46.51,14680064,0,14680064,14680064,2020.01.16_10.46.51
2020.01.16_10.46.52,15854469.12,23236444.16,39090913.28,39090913.28,2020.01.16_10.46.52
2020.01.16_10.46.54,16273899.52,7077888,23351787.52,23351787.52,2020.01.16_10.46.54
2020.01.16_10.46.54,7061504,10150215.68,17211719.68,17211719.68,2020.01.16_10.46.54
2020.01.16_10.46.55,10821304.32,4464640,15285944.32,15285944.32,2020.01.16_10.46.55
2020.01.16_10.46.56,5554176,9898557.44,15452733.44,15452733.44,2020.01.16_10.46.56
2020.01.16_10.46.57,10234101.76,8724152.32,18958254.08,18958254.08,2020.01.16_10.46.57
2020.01.16_10.46.58,14344519.68,10653532.16,24998051.84,24998051.84,2020.01.16_10.46.58
2020.01.16_10.46.59,127795.2,7970816,8098611.2,8098611.2,2020.01.16_10.46.59
2020.01.16_10.47.01,4653056,12415139.84,17068195.84,17068195.84,2020.01.16_10.47.01
2020.01.16_10.47.02,3424256,6070272,9494528,9494528,2020.01.16_10.47.02
2020.01.16_10.47.03,95846.4,15435038.72,15530885.12,15530885.12,2020.01.16_10.47.03
2020.01.16_10.47.04,25753026.56,5750784,31503810.56,31503810.56,2020.01.16_10.47.04
2020.01.16_10.47.05,12247367.68,6324224,18571591.68,18571591.68,2020.01.16_10.47.05
2020.01.16_10.47.06,4464640,2727936,7192576,7192576,2020.01.16_10.47.06
2020.01.16_10.47.08,10317987.84,6414336,16732323.84,16732323.84,2020.01.16_10.47.08
2020.01.16_10.47.08,14428405.76,2818048,17246453.76,17246453.76,2020.01.16_10.47.08
2020.01.16_10.47.09,11408506.88,9563013.12,20971520,20971520,2020.01.16_10.47.09
2020.01.16_10.47.10,3997696,8265728,12263424,12263424,2020.01.16_10.47.10
2020.01.16_10.47.11,1097728,9479127.04,10576855.04,10576855.04,2020.01.16_10.47.11
2020.01.16_10.47.12,9059696.64,6430720,15490416.64,15490416.64,2020.01.16_10.47.12
2020.01.16_10.47.13,8724152.32,25501368.32,34225520.64,34225520.64,2020.01.16_10.47.13
2020.01.16_10.47.15,11156848.64,5767168,16924016.64,16924016.64,2020.01.16_10.47.15
2020.01.16_10.47.16,5783552,11660165.12,17443717.12,17443717.12,2020.01.16_10.47.16
2020.01.16_10.47.17,3686400,3072000,6758400,6758400,2020.01.16_10.47.17
2020.01.16_10.47.18,254771.2,6701056,6955827.2,6955827.2,2020.01.16_10.47.18
2020.01.16_10.47.19,10649.6,9479127.04,9489776.64,9489776.64,2020.01.16_10.47.19
2020.01.16_10.47.20,10989076.48,9814671.36,20803747.84,20803747.84,2020.01.16_10.47.20
2020.01.16_10.47.21,13086228.48,5791744,18877972.48,18877972.48,2020.01.16_10.47.21
2020.01.16_10.47.22,15099494.4,5373952,20473446.4,20473446.4,2020.01.16_10.47.22
2020.01.16_10.47.23,15770583.04,8808038.4,24578621.44,24578621.44,2020.01.16_10.47.23
2020.01.16_10.47.24,17448304.64,12163481.6,29611786.24,29611786.24,2020.01.16_10.47.24
2020.01.16_10.47.25,6168576,15938355.2,22106931.2,22106931.2,2020.01.16_10.47.25
2020.01.16_10.47.26,1286144,11576279.04,12862423.04,12862423.04,2020.01.16_10.47.26
2020.01.16_10.47.28,8003584,16022241.28,24025825.28,24025825.28,2020.01.16_10.47.28
2020.01.16_10.47.29,19461570.56,5840896,25302466.56,25302466.56,2020.01.16_10.47.29
2020.01.16_10.47.30,13673431.04,31792824.32,45466255.36,45466255.36,2020.01.16_10.47.30
2020.01.16_10.47.31,18538823.68,11744051.2,30282874.88,30282874.88,2020.01.16_10.47.31
2020.01.16_10.47.32,17616076.8,16861102.08,34477178.88,34477178.88,2020.01.16_10.47.32
2020.01.16_10.47.33,3923968,16861102.08,20785070.08,20785070.08,2020.01.16_10.47.33
2020.01.16_10.47.35,9143582.72,7200768,16344350.72,16344350.72,2020.01.16_10.47.35
2020.01.16_10.47.35,5120000,18035507.2,23155507.2,23155507.2,2020.01.16_10.47.35
2020.01.16_10.47.36,14763950.08,7872512,22636462.08,22636462.08,2020.01.16_10.47.36
2020.01.16_10.47.37,17196646.4,9982443.52,27179089.92,27179089.92,2020.01.16_10.47.37
2020.01.16_10.47.38,6774784,3104768,9879552,9879552,2020.01.16_10.47.38
2020.01.16_10.47.39,9646899.2,0,9646899.2,9646899.2,2020.01.16_10.47.39
2020.01.16_10.47.41,13925089.28,0,13925089.28,13925089.28,2020.01.16_10.47.41
2020.01.16_10.47.42,11995709.44,2170880,14166589.44,14166589.44,2020.01.16_10.47.42
2020.01.16_10.47.43,1835008,9730785.28,11565793.28,11565793.28,2020.01.16_10.47.43
2020.01.16_10.47.44,3407872,20216545.28,23624417.28,23624417.28,2020.01.16_10.47.44
2020.01.16_10.47.45,7987200,14428405.76,22415605.76,22415605.76,2020.01.16_10.47.45
2020.01.16_10.47.46,9143582.72,15183380.48,24326963.2,24326963.2,2020.01.16_10.47.46
2020.01.16_10.47.47,6307840,13925089.28,20232929.28,20232929.28,2020.01.16_10.47.47
2020.01.16_10.47.49,13505658.88,6971392,20477050.88,20477050.88,2020.01.16_10.47.49
2020.01.16_10.47.49,7471104,3375104,10846208,10846208,2020.01.16_10.47.49
2020.01.16_10.47.50,14176747.52,6930432,21107179.52,21107179.52,2020.01.16_10.47.50
2020.01.16_10.47.51,11995709.44,11156848.64,23152558.08,23152558.08,2020.01.16_10.47.51
2020.01.16_10.47.52,13421772.8,4153344,17575116.8,17575116.8,2020.01.16_10.47.52
2020.01.16_10.47.53,13421772.8,7004160,20425932.8,20425932.8,2020.01.16_10.47.53
2020.01.16_10.47.54,12415139.84,23236444.16,35651584,35651584,2020.01.16_10.47.54
2020.01.16_10.47.56,14680064,7323648,22003712,22003712,2020.01.16_10.47.56
2020.01.16_10.47.57,15099494.4,0,15099494.4,15099494.4,2020.01.16_10.47.57
2020.01.16_10.47.58,13757317.12,7905280,21662597.12,21662597.12,2020.01.16_10.47.58
2020.01.16_10.47.59,14008975.36,1859584,15868559.36,15868559.36,2020.01.16_10.47.59
2020.01.16_10.48.00,6594560,11240734.72,17835294.72,17835294.72,2020.01.16_10.48.00
2020.01.16_10.48.02,15267266.56,9143582.72,24410849.28,24410849.28,2020.01.16_10.48.02
