Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,CELLHEX,NODEHEX,LACHEX,RAWCELLID,NRxRSRP,NRxRSRQ,OT,Throughput
2020.02.13_13.58.22,-8.394564,51.886198,0,B,11,5G,-99,-10,3,8,-105,30828,149,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-105,-10,30977,30977
2020.02.13_13.58.23,-8.394564,51.886198,0,B,11,5G,-99,-12,10,13,-107,38276,165,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-107,-17,38441,38441
2020.02.13_13.58.24,-8.394564,51.886198,0,B,11,5G,-99,-12,10,13,-107,45991,161,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-107,-17,46152,46152
2020.02.13_13.58.25,-8.394564,51.886198,0,B,11,5G,-99,-13,12,11,-105,49532,180,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-10,49712,49712
2020.02.13_13.58.27,-8.394564,51.886198,0,B,11,5G,-99,-13,12,11,-105,58464,184,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-106,-10,58648,58648
2020.02.13_13.58.28,-8.394564,51.886198,0,B,11,5G,-103,-12,-3,9,-103,17890,64,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103,-12,17954,17954
2020.02.13_13.58.29,-8.394564,51.886198,0,B,11,5G,-103,-12,-3,9,-103,17890,64,D,73,70,78,3,0,B,A4DF,9CBA,10805003,-103,-12,17954,17954
2020.02.13_13.58.29,-8.394564,51.886198,0,B,11,5G,-103,-12,-3,9,-103,3,3,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103,-12,6,6
2020.02.13_13.58.30,-8.394564,51.886198,0,B,11,5G,-102,-10,3,11,-103,18455,186,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-9,18641,18641
2020.02.13_13.58.31,-8.394564,51.886198,0,B,11,5G,-102,-10,3,11,-103,19092,59,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-104,-9,19151,19151
2020.02.13_13.58.33,-8.394564,51.886198,0,B,11,5G,-102,-12,1,12,-103,19695,65,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-102,-11,19760,19760
2020.02.13_13.58.34,-8.394564,51.886198,0,B,11,5G,-102,-12,1,12,-103,18534,59,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-102,-11,18593,18593
2020.02.13_13.58.35,-8.394564,51.886198,0,B,11,5G,-102,-13,-5,14,-103,19148,63,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-102,-10,19211,19211
2020.02.13_13.58.36,-8.394564,51.886198,0,B,11,5G,-102,-13,-5,14,-103,20413,64,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-102,-10,20477,20477
2020.02.13_13.58.37,-8.394564,51.886198,0,B,11,5G,-102,-15,-6,10,-103,19683,62,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103,-12,19745,19745
2020.02.13_13.58.38,-8.394564,51.886198,0,B,11,5G,-102,-15,-6,10,-103,19478,60,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103,-12,19538,19538
2020.02.13_13.58.40,-8.394564,51.886198,0,B,11,5G,-102,-12,3,11,-103,19617,65,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-102,-12,19682,19682
2020.02.13_13.58.42,-8.394564,51.886198,0,B,11,5G,-102,-16,-5,10,-103,0,0,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-102,-11,0,0
2020.02.13_13.58.43,-8.394564,51.886198,0,B,11,5G,-102,-16,-5,10,-103,0,0,D,72,71,74,1,0,B,A4DF,9CBA,10805003,-102,-11,0,0
2020.02.13_13.58.43,-8.394564,51.886198,0,B,11,5G,-102,-16,-5,10,-103,4401,75,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-102,-11,4476,4476
2020.02.13_13.58.44,-8.394564,51.886198,0,B,11,5G,-102,-11,-5,11,-103,18434,123,D,-,-,-,-,-,B,A4DF,9CBA,10805003,-103,-11,18557,18557
